,Player,Pos,Tm,G,MP,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Rk,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,RAPM,RAPM__Off,RAPM__Def,Salary 2020-21
0,Precious Achiuwa,PF,MIA,54,681,13.9,0.2,1.0,1.2,.088,-3.5,-0.8,-4.3,-0.4,1,8.1,15.1,.541,0.0,0.0,,8.1,15.1,.541,3.8,7.3,.515,5.1,9.2,14.3,2.0,1.3,1.9,3.0,6.4,20.1,106,108,-1.12,-1.22,0.1,2582160.0
1,Steven Adams,C,NOP,53,1491,15.6,2.3,1.3,3.6,.116,-0.1,-0.6,-0.7,0.5,3,5.8,9.3,.620,0.0,0.1,.000,5.8,9.2,.627,1.8,4.1,.441,6.7,8.9,15.6,3.4,1.6,1.1,2.4,3.4,13.4,123,114,0.83,1.09,-0.26,27528090.0
2,Bam Adebayo,C,MIA,51,1705,22.6,4.2,2.7,6.9,.193,2.8,1.7,4.5,2.8,4,10.7,18.9,.566,0.1,0.2,.250,10.6,18.7,.570,6.7,8.4,.803,3.5,10.4,13.8,7.8,1.5,1.7,4.1,3.4,28.2,120,107,-0.14,0.02,-0.17,5115492.0
3,LaMarcus Aldridge,C,TOT,26,674,15.7,0.5,0.7,1.2,.086,-0.2,-0.4,-0.6,0.2,5,10.1,21.3,.473,2.2,5.8,.388,7.8,15.5,.505,2.9,3.4,.872,1.4,7.1,8.5,3.5,0.8,2.1,1.9,3.4,25.3,109,112,-0.46,0.01,-0.48,19078340.0
21,Nickeil Alexander-Walker,SG,NOP,41,851,12.6,-0.2,0.8,0.6,.034,-1.6,-0.1,-1.7,0.1,7,9.0,21.5,.418,3.7,10.6,.348,5.3,10.9,.487,2.2,3.0,.750,0.6,6.6,7.2,4.6,2.3,1.2,3.2,4.4,23.9,101,113,-1.12,-1.05,-0.07,3113160.0
22,Grayson Allen,SG,MEM,43,1104,13.9,1.6,1.1,2.7,.116,0.2,0.2,0.4,0.7,8,7.0,16.1,.434,4.5,10.8,.412,2.6,5.3,.480,3.0,3.5,.863,0.6,5.3,6.0,4.0,1.9,0.3,1.9,2.7,21.5,118,112,0.79,0.12,0.67,2545320.0
23,Jarrett Allen,C,TOT,48,1387,21.1,3.7,1.7,5.4,.187,1.9,0.0,1.8,1.3,9,8.0,12.7,.630,0.2,0.5,.385,7.8,12.2,.639,5.8,8.2,.714,5.1,11.7,16.8,2.8,0.8,2.7,2.6,2.7,22.0,129,110,0.75,0.61,0.14,3909902.0
32,Al-Farouq Aminu,PF,TOT,19,384,9.4,-0.4,0.5,0.1,.012,-4.9,1.0,-3.9,-0.2,10,4.6,11.6,.396,0.9,4.1,.219,3.7,7.5,.492,2.0,2.4,.842,2.5,9.8,12.3,3.7,2.2,1.1,3.4,3.0,12.1,92,110,-1.89,-1.8,-0.09,9720900.0
41,Kyle Anderson,PF,MEM,54,1486,17.0,2.1,2.2,4.3,.139,1.2,1.7,2.9,1.8,11,7.7,16.7,.461,2.3,6.7,.340,5.4,10.0,.542,3.5,4.4,.783,1.4,9.0,10.4,6.4,2.2,1.4,2.2,3.0,21.1,116,108,0.19,-0.87,1.07,9505100.0
42,Giannis Antetokounmpo,PF,MIL,48,1618,28.9,5.3,2.7,8.0,.238,6.0,2.5,8.5,4.3,12,14.5,25.7,.564,1.5,5.1,.297,13.0,20.6,.630,9.4,13.7,.688,2.4,13.2,15.6,8.4,1.6,1.8,5.2,3.8,39.9,120,107,3.18,1.91,1.27,27528090.0
43,Thanasis Antetokounmpo,SF,MIL,45,478,11.3,0.1,0.6,0.7,.068,-3.1,-0.3,-3.3,-0.2,14,6.3,12.0,.525,0.7,2.4,.292,5.6,9.7,.582,1.8,3.8,.462,4.8,6.1,10.9,3.6,1.9,1.0,3.8,6.1,15.1,105,111,0.11,0.03,0.09,1701593.0
44,Carmelo Anthony,PF,POR,55,1385,14.1,1.0,0.6,1.5,.053,-0.5,-1.8,-2.3,-0.1,15,9.4,22.6,.413,3.5,9.1,.385,5.9,13.6,.432,4.1,4.6,.878,1.0,5.2,6.2,3.0,1.4,1.2,2.0,4.1,26.3,109,117,-1.98,-0.26,-1.71,2564753.0
45,Cole Anthony,PG,ORL,32,850,11.4,-0.6,0.6,0.0,.002,-2.4,-1.1,-3.5,-0.3,16,7.8,20.2,.384,1.9,6.3,.303,5.9,14.0,.420,3.6,4.2,.849,1.6,6.7,8.3,7.6,1.1,0.9,3.6,3.9,21.0,98,114,-1.16,-1.28,0.12,3285120.0
46,OG Anunoby,SF,TOR,37,1221,14.6,1.1,1.4,2.5,.100,0.1,0.3,0.4,0.7,17,7.9,16.6,.473,3.3,8.4,.393,4.5,8.2,.556,2.6,3.4,.765,2.1,6.2,8.3,3.0,2.3,1.0,2.6,4.0,21.6,112,111,1.44,0.1,1.34,3872215.0
47,Ryan Arcidiacono,PG,CHI,32,348,8.8,0.3,0.2,0.5,.071,-3.4,-0.2,-3.6,-0.1,18,4.8,12.6,.385,2.2,7.2,.308,2.6,5.4,.487,1.7,2.2,.750,0.6,6.5,7.1,5.9,1.0,0.0,1.0,5.0,13.6,113,115,1.28,-0.11,1.39,3000000.0
48,D.J. Augustin,PG,TOT,51,981,11.7,1.3,0.6,1.9,.091,-0.7,-1.2,-1.9,0.0,20,5.3,13.8,.385,3.2,8.6,.374,2.1,5.2,.402,3.3,3.6,.932,0.9,3.1,3.9,8.0,1.3,0.0,2.6,2.5,17.1,116,116,0.68,0.29,0.39,6666667.0
57,Deni Avdija,SF,WAS,53,1243,7.6,-0.1,1.2,1.1,.044,-3.6,-0.3,-3.9,-0.6,21,4.8,11.4,.417,2.0,6.2,.315,2.8,5.2,.540,1.0,1.6,.628,0.8,8.8,9.6,2.3,1.2,0.6,1.2,5.2,12.5,102,113,0.46,0.95,-0.49,4469160.0
58,Deandre Ayton,C,PHO,57,1746,20.4,4.2,2.8,7.0,.192,0.7,0.0,0.8,1.2,22,10.5,16.8,.625,0.1,0.6,.200,10.4,16.3,.640,3.2,4.2,.767,5.3,12.0,17.4,2.3,0.8,1.8,2.7,4.6,24.4,125,107,-0.14,0.63,-0.77,10018200.0
59,Udoka Azubuike,C,UTA,12,49,10.5,0.0,0.1,0.1,.109,-5.5,1.2,-4.3,0.0,23,4.0,7.0,.571,0.0,0.0,,4.0,7.0,.571,4.0,6.0,.667,4.0,8.9,12.9,0.0,1.0,4.0,3.0,7.9,11.9,109,105,-1.85,-1.4,-0.45,1977000.0
60,Dwayne Bacon,SG,ORL,57,1431,9.6,-0.2,0.8,0.6,.019,-3.6,-1.5,-5.0,-1.1,24,7.5,18.6,.403,1.7,5.7,.305,5.8,12.9,.446,3.5,4.2,.846,0.6,5.2,5.8,2.4,1.1,0.1,1.2,3.0,20.3,102,116,-2.53,-1.82,-0.71,1678854.0
61,Marvin Bagley III,PF,SAC,37,951,16.2,0.8,0.3,1.1,.056,-0.6,-2.9,-3.5,-0.4,25,10.5,21.0,.502,1.7,4.8,.354,8.8,16.1,.547,3.1,5.5,.560,4.6,9.3,13.9,1.8,0.9,1.0,2.5,4.5,25.9,109,118,-0.93,0.59,-1.53,8963640.0
62,LaMelo Ball,PG,CHO,41,1174,18.6,1.4,1.5,2.9,.119,1.9,0.8,2.7,1.4,26,9.8,21.8,.451,3.4,8.9,.375,6.5,12.8,.503,4.0,5.1,.789,2.2,7.7,9.9,10.4,2.7,0.6,4.8,4.8,27.0,111,110,-0.89,-0.15,-0.75,7839960.0
63,Lonzo Ball,PG,NOP,43,1347,15.2,1.5,1.0,2.6,.091,1.4,-0.1,1.4,1.2,27,7.8,18.8,.416,4.6,12.3,.373,3.2,6.5,.497,1.4,1.7,.792,0.9,5.6,6.5,8.6,2.2,0.9,3.0,3.1,21.6,113,114,1.67,1.87,-0.2,11003782.0
64,Mo Bamba,C,ORL,33,410,19.8,0.4,0.6,1.0,.120,0.4,0.1,0.5,0.3,28,10.6,21.7,.489,3.1,8.1,.382,7.5,13.6,.553,2.4,3.9,.606,5.2,12.0,17.3,2.0,0.7,3.8,2.5,6.5,26.7,111,109,-0.76,-0.82,0.06,5969040.0
65,Desmond Bane,SG,MEM,52,1160,12.5,1.3,1.1,2.4,.098,-0.7,-0.2,-0.9,0.3,29,7.6,16.0,.476,3.8,8.3,.460,3.8,7.7,.492,1.4,1.6,.825,0.8,5.8,6.6,3.6,1.4,0.4,1.9,4.2,20.4,116,113,0.83,0.1,0.73,1936440.0
66,Harrison Barnes,PF,SAC,54,1961,15.1,3.6,0.3,3.9,.096,1.2,-1.6,-0.3,0.8,30,7.1,14.5,.492,2.1,5.6,.374,5.0,8.8,.568,4.4,5.4,.826,1.5,7.3,8.8,4.5,1.1,0.2,2.1,1.8,20.8,122,120,0.54,0.49,0.05,22215909.0
67,RJ Barrett,SG,NYK,58,1978,13.7,0.8,2.5,3.2,.078,-1.1,-0.4,-1.5,0.3,31,9.5,21.2,.448,2.1,5.4,.383,7.4,15.8,.470,4.3,5.8,.736,1.6,6.8,8.3,4.3,1.1,0.4,2.9,3.9,25.4,106,110,0.86,0.21,0.65,8231760.0
68,Will Barton,SF,DEN,54,1701,12.0,0.9,1.3,2.3,.064,-0.8,-1.2,-2.0,0.0,32,7.4,17.4,.427,2.8,7.3,.386,4.6,10.1,.457,2.7,3.4,.788,1.1,5.3,6.4,5.1,1.4,0.7,2.7,2.7,20.3,108,114,0.31,0.38,-0.08,13920000.0
69,Nicolas Batum,SF,LAC,55,1563,13.1,2.4,1.9,4.4,.134,0.5,0.8,1.3,1.3,34,5.2,11.3,.458,3.1,7.5,.415,2.1,3.8,.542,1.4,1.6,.846,1.4,7.2,8.6,4.0,1.9,0.9,1.4,2.8,14.8,125,110,0.69,0.44,0.25,11608231.0
71,Aron Baynes,C,TOR,50,912,9.8,-0.1,0.9,0.8,.044,-3.8,-1.5,-5.2,-0.8,35,6.4,14.9,.431,1.2,4.9,.237,5.2,9.9,.527,1.4,2.0,.730,4.4,9.0,13.4,2.3,0.8,1.1,2.3,6.0,15.4,102,113,-2.48,-1.81,-0.67,6975610.0
